tweet,fake,confidence,reason,latitude,longitude,timestamp
earthquake felt,False,high,"The tweet text matches the disaster type 'earthquake'. The closest sensor with seismic data (at 14:48:00) has a risk score of 60.93304007229706, which is above the threshold of 70. Therefore, the tweet is likely real.",37.64286215114529,-122.40748059867872,2023-01-02 14:48:00
evacuate Zone C,False,high,"The tweet is located near the flood sensor (within 5 km and ±10 minutes) which has a risk score of 76.40341574825281, exceeding the threshold of 70. Therefore, it's likely that the tweet is real.",37.76662545100525,-122.40786820912002,2023-01-02 16:32:00
fire in downtown,False,low,"The closest matching sensor (seismic) at 19:07:00 has a risk score of 90.41 which is above the threshold of 70, but it's a seismic sensor and not related to fire. The tweet is likely real because there are no other sensors within the specified time and distance that indicate a high risk of fire.",37.7873510869892,-122.3575498834375,2023-01-02 18:59:00
emergency in Zone A,False,medium,"The tweet is within the time range (±10 minutes) and proximity (~5 km) of a seismic sensor with a risk score >70. The sensor at 2023-01-02 19:03:00,37.501062644847245,-122.4176780811514 has a risk score of 77.17736270386129.",37.81730253596045,-122.45009844743872,2023-01-02 19:13:00
emergency in Zone A,False,medium,"The tweet is within 10 minutes and ~5 km of a seismic sensor (02:56:00,37.1614509679164,-121.63729715563188) with a risk score of 77.84748223934224 which is greater than 70, indicating a likely real disaster.",37.85491255154258,-122.37785091507226,2023-01-03 02:53:00
evacuate Zone C,False,high,"The tweet text 'evacuate Zone C' matches the disaster type 'flood' as there is a flood sensor reading with a risk score of 79.12154209343579 at a distance of ~5 km and within ±10 minutes. The risk score exceeds the threshold of 70, indicating a likely real tweet.",37.68693997769648,-122.34790636331496,2023-01-03 08:42:00
flood near river,False,medium,"There is a flood sensor reading (46.84282013816512) within the specified time and location range (±10 minutes and ~5 km). The risk score of this sensor is 46.84, which is above the medium threshold (70). However, it's not high enough to be considered a high confidence level.",37.67115458633254,-122.4935207042295,2023-01-03 09:05:00
evacuate Zone C,False,medium,"The tweet was posted at 09:06:00 and there is a seismic sensor reading (68.24241267492667) at 09:01:00, which is within the ±10 minutes and ~5 km range of the tweet's location. The risk score of this sensor is greater than 70, indicating a high risk level. However, the risk score is less than 85, so the confidence level is medium.",37.86490407057403,-122.3692204860276,2023-01-03 09:06:00
flood near river,False,medium,"There is a humidity sensor reading at 75.57 (moderate risk) within the acceptable time and distance range (10 minutes and ~5 km). However, no flood sensors were found in the given data. The tweet could be about a potential flood situation based on high humidity levels.",37.84703648784972,-122.4070118900838,2023-01-03 11:24:00
fire in downtown,False,medium,"There is a fire sensor reading within the specified time and location range (fire sensor at 14:51:00 with risk score of 89.59), but it's slightly above the threshold of 70 for high confidence. However, no other disaster-related sensors were found in the vicinity.",37.79168413369256,-122.35469008652392,2023-01-03 14:56:00
evacuate Zone C,False,high,"The tweet is located near sensors with high risk scores (seismic: 84.74 and temperature: 88.98) at the correct time (within ±10 minutes). The combined risk score exceeds 70, indicating a likely real disaster.",37.86034957403842,-122.36033796097526,2023-01-04 03:04:00
earthquake felt,False,high,"The tweet is within the time range (±10 minutes) and location (~5 km) of a seismic sensor with a risk score of 33.03237179958328, which is above the threshold of 70. This indicates that the tweet is likely real.",37.766999820483925,-122.41572650273744,2023-01-04 04:09:00
fire in downtown,False,medium,"There is a seismic sensor reading with a risk score of 90.61 (high confidence) at a distance of 2.7 km and a time difference of 9 minutes from the tweet location. However, the fire sensor readings are below the threshold of 70. Therefore, the confidence is medium as the seismic reading could be related to construction activities rather than a fire.",37.7023254983327,-122.39468909054165,2023-01-04 06:49:00
emergency in Zone A,False,medium,"The tweet is within the time range (±10 minutes) and location (~5 km) of a flood sensor with a risk score of 67.86299193313585 at 10:58:00, which is above the medium threshold of 70. However, no seismic or other disaster-related sensors have a risk score above 70 within the same time and location range.",37.77737819672428,-122.40024161950276,2023-01-04 10:49:00
flood near river,False,medium,"There is a matching flood sensor (at 15:02:00) with a risk score of 52.37425015299022 which is within the acceptable time and distance range. However, the risk score is not high enough (>85) to classify this as high confidence.",37.73230360526319,-122.46931330599084,2023-01-04 14:55:00
flood near river,False,high,The tweet text matches the flood sensor type and there is a matching flood sensor (86.35397797265799 risk score) within acceptable time and distance parameters.,37.75277904075762,-122.35161387677,2023-01-04 15:16:00
evacuate Zone C,False,medium,"The tweet is within the time range (±10 minutes) and proximity (~5 km) of a seismic sensor with a risk score >70. The sensor at 2023-01-04 15:32:00,37.58766744836796,-121.55600724742072,seismic,74.93619477334154 is within the specified range. However, the risk score of 74.93 is just above the threshold of 70, which gives a medium confidence level.",37.88699095828465,-122.4809776220446,2023-01-04 15:33:00
earthquake felt,False,high,"The tweet text matches the disaster type 'earthquake'. There is a seismic sensor at a distance of 1.35 km and within the time frame (±10 minutes) with a risk score of 89.52, which exceeds the threshold of 70. This indicates a high confidence that the tweet is real.",37.6330183399616,-122.45330907451508,2023-01-04 17:03:00
